1,Itsuki Yosuga,
2,40-hara,
3,Kazuha Kishimoto,
4,Meca Tanaka,
5,Tite Kubo,
6,Mikipon,
7,Komikan Matsumoto,
8,Sametarou Fukada,
9,Kazuma Kamachi,
10,Yasuhito Nogi,
11,Tatsuki Fujimoto,
12,Okaki Aiue,
13,Asahi,
14,Hiroyuki Takei,
15,Aya Tanaka,
16,Yoshiki Tonogai,
17,Taka Himeno,
18,Taku Kawamura,
19,Tsukasa Usui,
20,Aki Yamaguchi,
21,Mahcdai,
22,Tomato Akase,
23,Shitaranana,
24,Katakei,
25,Sou Hajikano,
26,Kusunoki,
27,Mitsuhisa Kuji,
28,Chihiro Orihi,
29,Kiyoko Iwami,
30,Ao Tajima,
31,Ayasuke Nakanomura,
32,Roa Fuzuki,
33,Ma Torii,
34,Yuu Nabe,
35,Kanata Oohama,
36,Shisui Meikyou,
37,Takafumi Oomae,
38,Cosaji,
39,Chidori Hama,
40,Kobashiko,
41,TADD,
42,Makoto Etou,
43,Maki,
44,Giba-chan,
45,Akamaru,
46,Sei Fukui,
47,Takuya Shinjou,
48,Jiro Matsumoto,
49,Namiru Matsumoto,
50,Kyousuke Tanabe,
51,Kyousuke Itou,
52,Shinpei Urata,
53,Itsusei Kimura,
